file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111121_www.we-dwoje.pl_9f7aacc1303f4dae00f6594fb8eb1a68d0fe8837de7656e3d51d9b2c	53.24	86.85	38.38	0.00	0.00	0.00	654	99	1050	0	17	0
20111121_www.we-dwoje.pl_ac186aa43766087c14f3a3f6c5ba25b926217085d643fa543350f4e2	44.19	88.48	29.45	0.00	0.00	0.00	430	56	1030	0	11	0
20111121_www.we-dwoje.pl_b6ff475c3cc514dda41564996e90eaa2bd880fbb82d755202d6ecb39	33.53	89.79	20.61	0.00	0.00	0.00	519	59	1999	0	14	0
20111121_www.we-dwoje.pl_c4714d77e4b5f4ddae2505af5f9f0ee5ded4f99e7eb1ada45f097140	36.27	87.10	22.91	0.00	0.00	0.00	216	32	727	0	6	0
20111121_www.we-dwoje.pl_ccfc5195c780b67e40760af089fa6c9bbcdeac2ed1b306dd7f2999df	56.07	90.45	40.63	0.00	0.00	0.00	843	89	1232	0	19	0
20111121_www.we-dwoje.pl_e41d743ba9490728966087b2cfeac4a182f2d182626480668a64b914	44.56	88.66	29.76	0.00	0.00	0.00	391	50	923	0	9	0
20111121_www.we-dwoje.pl_e5439019bb9a189ab8fb03a3c4b9a5ad05693637efa4306a572023e3	48.72	91.46	33.20	0.00	0.00	0.00	332	31	668	0	5	0
20111121_www.we-dwoje.pl_f08067ff05f49986e34305118a44c027406df41da7f02f275dffeed5	53.64	83.33	39.55	0.00	0.00	0.00	530	106	810	0	17	0
20111121_www.zdrowiutko.info_490a3e1ab669b249644690e80d69082a2e8c030f61a35f86f391f703	79.41	86.11	73.67	0.00	0.00	0.00	403	65	144	0	13	0
20111121_www.zdrowiutko.info_4af7429d6f7b3967f666b89eea7bef64cc89f5b13fb8a366a7b5fcf9	84.75	85.70	83.82	0.00	0.00	0.00	839	140	162	0	32	0
20111121_www.zdrowiutko.info_5022f347590833960c9b8492bd7cbe47ced16b5e43fbf0a495c1a05b	73.35	85.96	63.97	0.00	0.00	0.00	245	40	138	0	7	0
20111121_www.zdrowiutko.info_6248c1d028cdcd3796acd2207bee76fd2f0853e8cf1820e3fe05ca0f	87.03	88.92	85.23	0.00	0.00	0.00	923	115	160	0	25	0
20111121_www.zdrowiutko.info_665904417a34e62564dd9d52ef582728b9f7655e1f5d8a4934115d6c	84.74	88.51	81.28	0.00	0.00	0.00	647	84	149	0	18	0
